Customer ID,Feedback Date,Rating,Category,Subcategory,Feedback Text,Resolution Status,Agent ID,Response Time (hours),Follow Up Required,Sentiment,Priority,Product Version,Channel,Customer Tier,Escalated,Resolution Date,Satisfaction Score,Tags,Internal Notes
1,2025-08-07 10:30:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,In Progress,ai_agent_v2,0.1,No,Negative,Medium,v2.1,Chat,Business,No,2025-08-07 12:45:00,2.0,"account_access,ai_response",AI confidence: 0.55
2,2025-08-07 14:15:00,1,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,Resolved,ai_agent_v2,2.5,Yes,Negative,High,v2.1,Chat,Business,Yes,2025-08-07 16:45:00,1.5,"account_access,ai_response,escalated",AI confidence: 0.45
3,2025-08-08 09:00:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,In Progress,ai_agent_v2,0.8,No,Negative,Medium,v2.1,Chat,Premium,No,2025-08-08 11:30:00,1.5,"account_access,ai_response",AI confidence: 0.30
4,2025-08-08 11:20:00,4,Billing,Payment Issues,My credit card was charged twice for the same transaction.,Resolved,human_agent_001,1.5,No,Neutral,Medium,v2.1,Email,Standard,No,2025-08-08 14:30:00,4.2,"billing,duplicate_charge",Refund processed
5,2025-08-08 15:45:00,5,Technical Issues,Performance,The application is running much faster after the recent update. Great job!,Closed,ai_agent_v2,0.05,No,Positive,Low,v2.2,Chat,Premium,No,2025-08-08 15:50:00,4.8,"performance,positive_feedback",Customer satisfaction noted
6,2025-08-07 16:30:00,3,Feature Request,New Feature,It would be great to have a dark mode option in the mobile app.,Open,product_team_001,24.0,Yes,Neutral,Low,v2.1,Email,Standard,No,2023-01-01 00:00:00,3.0,"feature_request,mobile",Added to product backlog
7,2025-08-06 13:15:00,2,Technical Issues,Bug Report,The export function crashes when I try to export large datasets.,In Progress,dev_team_002,4.5,Yes,Negative,High,v2.1,Support Portal,Business,Yes,2025-08-07 10:30:00,2.5,"bug_report,export_function",Bug reproduced and fix in progress
8,2025-08-06 09:45:00,4,Account Access,Password Reset,I successfully reset my password using the new self-service option. Much easier than before!,Closed,ai_agent_v2,0.02,No,Positive,Low,v2.1,Chat,Standard,No,2025-08-06 09:47:00,4.5,"password_reset,positive_feedback",Self-service success
9,2025-08-05 14:20:00,1,Billing,Invoice Issues,I haven't received my invoice for this month and it's already past due.,Resolved,billing_team_001,6.0,No,Negative,High,v2.1,Phone,Premium,Yes,2025-08-05 20:30:00,3.2,"billing,invoice,late_payment",Invoice resent and due date extended
10,2025-08-05 11:10:00,5,Customer Service,General Inquiry,The support team was very helpful in resolving my integration issues. Thank you!,Closed,human_agent_002,2.0,No,Positive,Medium,v2.1,Email,Business,No,2025-08-05 13:15:00,4.9,"integration,positive_feedback,human_agent",Excellent customer service noted
1,2025-08-08 00:00:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,In Progress,ai_agent_v2,0.1,No,Negative,Medium,v2.1,Chat,premium,No,2023-01-01 00:00:00,1.5,"account_access,ai_response",AI confidence: 0.45
1,2025-08-08 00:00:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,In Progress,ai_agent_v2,0.1,No,Negative,Medium,v2.1,Chat,premium,No,2023-01-01 00:00:00,1.5,"account_access,ai_response",AI confidence: 0.45
1,2025-08-08 00:00:00,1,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct. I will sue your company,In Progress,ai_agent_v2,0.1,Yes,Very Negative,High,v2.1,Chat,premium,Yes,2023-01-01 00:00:00,1.0,"account_access,ai_response",AI confidence: 0.40
5,2025-08-08 00:00:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,Resolved,ai_agent_v2,0.1,No,Negative,Medium,v2.1,Chat,enterprise,No,2025-08-08 00:00:00,2.5,"account_access,ai_response",AI confidence: 0.85
5,2025-08-08 00:00:00,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct. I'll sue your company,Resolved,ai_agent_v2,0.1,Yes,Very Negative,High,v2.1,Chat,enterprise,Yes,2025-08-08 00:00:00,1.5,"account_access,ai_response",AI confidence: 0.85
1,2025-08-08,2,Account Access,General,I can't log into my account. I keep getting an error message saying 'invalid credentials' even though I'm sure my password is correct.,In Progress,ai_agent_v2,0.1,No,Negative,Medium,v2.1,Chat,premium,No,,1.5,"account_access,ai_response",AI confidence: 0.35
